"filename", "language", "C#", "XML", "JSON", "Properties", "comment", "blank", "total"
"e:\Projects\Development\Oxalate\JsonSharp\Json.cs", "C#", 542, 0, 0, 0, 1, 1, 544
"e:\Projects\Development\Oxalate\JsonSharp\JsonSharp.csproj", "XML", 0, 5, 0, 0, 0, 3, 8
"e:\Projects\Development\Oxalate\JsonSharp\bin\Debug\netcoreapp3.1\JsonSharp.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"e:\Projects\Development\Oxalate\JsonSharp\bin\Release\netcoreapp3.1\JsonSharp.deps.json", "JSON", 0, 0, 23, 0, 0, 0, 23
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\JsonSharp.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\JsonSharp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.dgspec.json", "JSON", 0, 0, 62, 0, 0, 0, 62
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.g.props", "XML", 0, 18, 0, 0, 0, 0, 18
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.g.targets", "XML", 0, 6, 0, 0, 0, 0, 6
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\JsonSharp.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\JsonSharp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\JsonSharp\obj\project.assets.json", "JSON", 0, 0, 67, 0, 0, 0, 67
"e:\Projects\Development\Oxalate\OxalateCorePlugin\OxalateCore.cs", "C#", 36, 0, 0, 0, 0, 11, 47
"e:\Projects\Development\Oxalate\OxalateCorePlugin\OxalateCorePlugin.csproj", "XML", 0, 25, 0, 0, 0, 8, 33
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateCorePlugin.deps.json", "JSON", 0, 0, 63, 0, 0, 0, 63
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateServer.deps.json", "JSON", 0, 0, 49, 0, 0, 0, 49
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json", "JSON", 0, 0, 8, 0, 0, 0, 8
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\OxalateServer.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\config.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Debug\netcoreapp3.1\zh-cn.lang.json", "JSON", 0, 0, 28, 0, 0, 5, 33
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateCorePlugin.deps.json", "JSON", 0, 0, 64, 0, 0, 0, 64
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateServer.deps.json", "JSON", 0, 0, 50, 0, 0, 0, 50
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.dev.json", "JSON", 0, 0, 8, 0, 0, 0, 8
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\OxalateServer.runtimeconfig.json", "JSON", 0, 0, 9, 0, 0, 0, 9
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\config.json", "JSON", 0, 0, 12, 0, 0, 0, 12
"e:\Projects\Development\Oxalate\OxalateCorePlugin\bin\Release\netcoreapp3.1\zh-cn.lang.json", "JSON", 0, 0, 28, 0, 0, 5, 33
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\OxalateCorePlugin\obj\Debug\netcoreapp3.1\OxalateCorePlugin.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
