"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"e:\Projects\Development\Oxalate\JsonSharp\Json.cs", "C#", 542, 0, 0, 0, 1, 1, 544
"e:\Projects\Development\Oxalate\JsonSharp\JsonSharp.csproj", "XML", 0, 0, 5, 0, 0, 3, 8
"e:\Projects\Development\Oxalate\JsonSharp\bin\Debug\netcoreapp3.1\JsonSharp.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 23
"e:\Projects\Development\Oxalate\JsonSharp\bin\Release\netcoreapp3.1\JsonSharp.deps.json", "JSON", 0, 23, 0, 0, 0, 0, 23
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\JsonSharp.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\JsonSharp\obj\Debug\netcoreapp3.1\JsonSharp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.dgspec.json", "JSON", 0, 62, 0, 0, 0, 0, 62
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.g.props", "XML", 0, 0, 18, 0, 0, 0, 18
"e:\Projects\Development\Oxalate\JsonSharp\obj\JsonSharp.csproj.nuget.g.targets", "XML", 0, 0, 6, 0, 0, 0, 6
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\JsonSharp.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"e:\Projects\Development\Oxalate\JsonSharp\obj\Release\netcoreapp3.1\JsonSharp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"e:\Projects\Development\Oxalate\JsonSharp\obj\project.assets.json", "JSON", 0, 67, 0, 0, 0, 0, 67
"e:\Projects\Development\Oxalate\OxalateClient-GUI\ConnectDialog.Designer.cs", "C#", 93, 0, 0, 0, 29, 7, 129
"e:\Projects\Development\Oxalate\OxalateClient-GUI\ConnectDialog.cs", "C#", 109, 0, 0, 0, 0, 8, 117
"e:\Projects\Development\Oxalate\OxalateClient-GUI\MainForm.Designer.cs", "C#", 91, 0, 0, 0, 35, 9, 135
"e:\Projects\Development\Oxalate\OxalateClient-GUI\MainForm.cs", "C#", 53, 0, 0, 0, 0, 10, 63
"e:\Projects\Development\Oxalate\OxalateClient-GUI\OxalateClient-GUI.csproj", "XML", 0, 0, 11, 0, 0, 3, 14
"e:\Projects\Development\Oxalate\OxalateClient-GUI\Preference.cs", "C#", 91, 0, 0, 0, 3, 7, 101
"e:\Projects\Development\Oxalate\OxalateClient-GUI\Program.cs", "C#", 26, 0, 0, 0, 3, 2, 31
