Date : 2021-10-06 22:13:17
Directory : e:\Projects\Development\Oxalate
Total : 159 files,  7169 codes, 531 comments, 514 blanks, all 8214 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |         61 |      3,506 |        531 |        445 |      4,482 |
| JSON       |         62 |      3,309 |          0 |         28 |      3,337 |
| XML        |         24 |        318 |          0 |         29 |        347 |
| Properties |         12 |         36 |          0 |         12 |         48 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        159 |      7,169 |        531 |        514 |      8,214 |
| JsonSharp                                                                                                                                |         14 |        777 |         23 |         18 |        818 |
| JsonSharp\bin                                                                                                                            |          2 |         46 |          0 |          0 |         46 |
| JsonSharp\bin\Debug                                                                                                                      |          1 |         23 |          0 |          0 |         23 |
| JsonSharp\bin\Debug\netcoreapp3.1                                                                                                        |          1 |         23 |          0 |          0 |         23 |
| JsonSharp\bin\Release                                                                                                                    |          1 |         23 |          0 |          0 |         23 |
| JsonSharp\bin\Release\netcoreapp3.1                                                                                                      |          1 |         23 |          0 |          0 |         23 |
| JsonSharp\obj                                                                                                                            |         10 |        183 |         22 |         14 |        219 |
| JsonSharp\obj\Debug                                                                                                                      |          3 |         15 |         11 |          7 |         33 |
| JsonSharp\obj\Debug\netcoreapp3.1                                                                                                        |          3 |         15 |         11 |          7 |         33 |
| JsonSharp\obj\Release                                                                                                                    |          3 |         15 |         11 |          7 |         33 |
| JsonSharp\obj\Release\netcoreapp3.1                                                                                                      |          3 |         15 |         11 |          7 |         33 |
| OxalateClient                                                                                                                            |         20 |        986 |         63 |         55 |      1,104 |
| OxalateClient-GUI                                                                                                                        |         35 |      1,927 |        146 |        108 |      2,181 |
| OxalateClient-GUI\Properties                                                                                                             |          1 |         32 |         23 |          9 |         64 |
| OxalateClient-GUI\bin                                                                                                                    |          7 |        255 |          0 |          0 |        255 |
| OxalateClient-GUI\bin\Debug                                                                                                              |          7 |        255 |          0 |          0 |        255 |
| OxalateClient-GUI\bin\Debug\netcoreapp3.1                                                                                                |          7 |        255 |          0 |          0 |        255 |
| OxalateClient-GUI\obj                                                                                                                    |         16 |        743 |         21 |         13 |        777 |
| OxalateClient-GUI\obj\Debug                                                                                                              |          9 |         81 |         21 |         13 |        115 |
| OxalateClient-GUI\obj\Debug\netcoreapp3.1                                                                                                |          9 |         81 |         21 |         13 |        115 |
| OxalateClient\bin                                                                                                                        |          2 |        100 |          0 |          0 |        100 |
| OxalateClient\bin\Debug                                                                                                                  |          2 |        100 |          0 |          0 |        100 |
| OxalateClient\bin\Debug\netcoreapp3.1                                                                                                    |          2 |        100 |          0 |          0 |        100 |
| OxalateClient\obj                                                                                                                        |         12 |        549 |         21 |         13 |        583 |
| OxalateClient\obj\Debug                                                                                                                  |          5 |         27 |         21 |         13 |         61 |
| OxalateClient\obj\Debug\netcoreapp3.1                                                                                                    |          5 |         27 |         21 |         13 |         61 |
| OxalateCorePlugin                                                                                                                        |         32 |      1,372 |         29 |         94 |      1,495 |
| OxalateCorePlugin\bin                                                                                                                    |         12 |        335 |          0 |          7 |        342 |
| OxalateCorePlugin\bin\Debug                                                                                                              |          6 |        164 |          0 |          2 |        166 |
| OxalateCorePlugin\bin\Debug\netcoreapp3.1                                                                                                |          6 |        164 |          0 |          2 |        166 |
| OxalateCorePlugin\bin\Release                                                                                                            |          6 |        171 |          0 |          5 |        176 |
| OxalateCorePlugin\bin\Release\netcoreapp3.1                                                                                              |          6 |        171 |          0 |          5 |        176 |
| OxalateCorePlugin\obj                                                                                                                    |         11 |        452 |         22 |         14 |        488 |
| OxalateCorePlugin\obj\Debug                                                                                                              |          3 |         15 |         11 |          7 |         33 |
